date,day_of_week,symbol,close
2020-06-05,5,AMZ-GY,2184
2020-06-08,1,AMZ-GY,2224.5
2020-06-09,2,AMZ-GY,2285
2020-06-10,3,AMZ-GY,2342.5
2020-06-11,4,AMZ-GY,2326
2020-06-12,5,AMZ-GY,2266.5
2020-06-15,1,AMZ-GY,2245.5
2020-06-16,2,AMZ-GY,2312.5
2020-06-17,3,AMZ-GY,2356
2020-06-18,4,AMZ-GY,2357.5
2020-06-19,5,AMZ-GY,2396
2020-06-22,1,AMZ-GY,2391
2020-06-23,2,AMZ-GY,2453
2020-06-24,3,AMZ-GY,2433.5
2020-06-25,4,AMZ-GY,2437
2020-06-26,5,AMZ-GY,2452.5
2020-06-29,1,AMZ-GY,2378
2020-06-30,2,AMZ-GY,2426
2020-07-01,3,AMZ-GY,2489
2020-07-02,4,AMZ-GY,2570
2020-07-03,5,AMZ-GY,2580.5
2020-07-06,1,AMZ-GY,2672.5
2020-07-07,2,AMZ-GY,2705
2020-07-08,3,AMZ-GY,2670.5
2020-07-09,4,AMZ-GY,2749
2020-07-10,5,AMZ-GY,2808.5
2020-07-13,1,AMZ-GY,2935
2020-07-14,2,AMZ-GY,2699.5
2020-07-15,3,AMZ-GY,2633
2020-07-16,4,AMZ-GY,2572.5
2020-07-17,5,AMZ-GY,2602.5
2020-07-20,1,AMZ-GY,2719
2020-07-21,2,AMZ-GY,2728
2020-07-22,3,AMZ-GY,2674
2020-07-23,4,AMZ-GY,2634.5
2020-07-24,5,AMZ-GY,2587.5
2020-07-27,1,AMZ-GY,2572
2020-07-28,2,AMZ-GY,2575
2020-07-29,3,AMZ-GY,2563.5
2020-07-30,4,AMZ-GY,2580
2020-07-31,5,AMZ-GY,2702
2020-08-03,1,AMZ-GY,2668
2020-08-04,2,AMZ-GY,2650
2020-08-05,3,AMZ-GY,2677
2020-08-06,4,AMZ-GY,2696
2020-08-07,5,AMZ-GY,2721
2020-08-10,1,AMZ-GY,2660.5
2020-08-11,2,AMZ-GY,2676
2020-08-12,3,AMZ-GY,2668.5
2020-08-13,4,AMZ-GY,2710
2020-08-14,5,AMZ-GY,2660
2020-08-17,1,AMZ-GY,2664
2020-08-18,2,AMZ-GY,2751
2020-08-19,3,AMZ-GY,2770
2020-08-20,4,AMZ-GY,2769.5
2020-08-21,5,AMZ-GY,2790
2020-08-24,1,AMZ-GY,2792
2020-08-25,2,AMZ-GY,2831
2020-08-26,3,AMZ-GY,2872.5
2020-08-27,4,AMZ-GY,2915
2020-08-28,5,AMZ-GY,2872
2020-08-31,1,AMZ-GY,2894.5
2020-09-01,2,AMZ-GY,2924.5
2020-09-02,3,AMZ-GY,2963
2020-09-03,4,AMZ-GY,2839
2020-09-04,5,AMZ-GY,2718
2020-09-07,1,AMZ-GY,2755
2020-09-08,2,AMZ-GY,2705.5
2020-09-09,3,AMZ-GY,2758.5
2020-09-10,4,AMZ-GY,2784
2020-09-11,5,AMZ-GY,2666
2020-09-14,1,AMZ-GY,2674.5
2020-09-15,2,AMZ-GY,2644
2020-09-16,3,AMZ-GY,2661
2020-09-17,4,AMZ-GY,2541
2020-09-18,5,AMZ-GY,2491.5
2020-09-21,1,AMZ-GY,2460
2020-09-22,2,AMZ-GY,2593.5
2020-09-23,3,AMZ-GY,2625.5
2020-09-24,4,AMZ-GY,2623
2020-09-25,5,AMZ-GY,2622
2020-09-28,1,AMZ-GY,2702
2020-09-29,2,AMZ-GY,2701
2020-09-30,3,AMZ-GY,2728.5
2020-10-01,4,AMZ-GY,2727
2020-10-02,5,AMZ-GY,2694.5
2020-10-05,1,AMZ-GY,2701
2020-10-06,2,AMZ-GY,2665.5
2020-10-07,3,AMZ-GY,2689
2020-10-08,4,AMZ-GY,2713
2020-10-09,5,AMZ-GY,2753
2020-10-12,1,AMZ-GY,2917
2020-10-13,2,AMZ-GY,2968
2020-10-14,3,AMZ-GY,2894
2020-10-15,4,AMZ-GY,2831.5
2020-10-16,5,AMZ-GY,2869.5
2020-10-19,1,AMZ-GY,2757.5
2020-10-20,2,AMZ-GY,2711.5
2020-10-21,3,AMZ-GY,2685.5
2020-10-22,4,AMZ-GY,2657.5
2020-10-23,5,AMZ-GY,2669
2020-10-26,1,AMZ-GY,2711
2020-10-27,2,AMZ-GY,2749
2020-10-28,3,AMZ-GY,2713.5
2020-10-29,4,AMZ-GY,2745
2020-10-30,5,AMZ-GY,2629.5
2020-11-02,1,AMZ-GY,2569.5
2020-11-03,2,AMZ-GY,2609
2020-11-04,3,AMZ-GY,2764.5
2020-11-05,4,AMZ-GY,2826
2020-11-06,5,AMZ-GY,2766
2020-11-09,1,AMZ-GY,2749
2020-11-10,2,AMZ-GY,2572.5
2020-11-11,3,AMZ-GY,2644
2020-11-12,4,AMZ-GY,2642.5
2020-11-13,5,AMZ-GY,2621.5
2020-11-16,1,AMZ-GY,2631.5
2020-11-17,2,AMZ-GY,2652
2020-11-18,3,AMZ-GY,2629
2020-11-19,4,AMZ-GY,2631.5
2020-11-20,5,AMZ-GY,2632.5
